CIN,Change_Type,Field_Changed,Old_Value,New_Value,Date
L36912MH1986PLC041203,New Incorporation,N/A,N/A,N/A,2025-10-11
L36912PN2013PLC149288,New Incorporation,N/A,N/A,N/A,2025-10-11
L36999MH2022PLC387009,New Incorporation,N/A,N/A,N/A,2025-10-11
L37060MH1984PLC055433,New Incorporation,N/A,N/A,N/A,2025-10-11
L39877MH1986PLC039877,New Incorporation,N/A,N/A,N/A,2025-10-11
L40100MH1999PLC118986,New Incorporation,N/A,N/A,N/A,2025-10-11
L40100MH2003PLC138835,New Incorporation,N/A,N/A,N/A,2025-10-11
L40104MH2008PLC184149,New Incorporation,N/A,N/A,N/A,2025-10-11
L40106MH2008PLC186309,New Incorporation,N/A,N/A,N/A,2025-10-11
L40108PN2000PLC015323,New Incorporation,N/A,N/A,N/A,2025-10-11
L40200MH1982PLC027837,New Incorporation,N/A,N/A,N/A,2025-10-11
L43222MH2001PLC133483,New Incorporation,N/A,N/A,N/A,2025-10-11
L43299MH1982PLC368610,New Incorporation,N/A,N/A,N/A,2025-10-11
L45100MH1979PLC440026,New Incorporation,N/A,N/A,N/A,2025-10-11
L45100MH1982PLC028806,New Incorporation,N/A,N/A,N/A,2025-10-11
L45100MH1983PLC031671,New Incorporation,N/A,N/A,N/A,2025-10-11
L45100MH1983PLC263361,New Incorporation,N/A,N/A,N/A,2025-10-11
L45200MH1934PLC002346,New Incorporation,N/A,N/A,N/A,2025-10-11
L45200MH1985PLC035172,New Incorporation,N/A,N/A,N/A,2025-10-11
L45200MH1985PLC037365,New Incorporation,N/A,N/A,N/A,2025-10-11
L45200MH1987PLC042378,New Incorporation,N/A,N/A,N/A,2025-10-11
L45200MH1992PLC067837,New Incorporation,N/A,N/A,N/A,2025-10-11
L45200MH1992PLC069044,New Incorporation,N/A,N/A,N/A,2025-10-11
L45200MH1993PLC071970,New Incorporation,N/A,N/A,N/A,2025-10-11
L45200MH1995PLC090718,New Incorporation,N/A,N/A,N/A,2025-10-11
L45200MH1996PLC095941,New Incorporation,N/A,N/A,N/A,2025-10-11
L45200MH1998PLC114818,New Incorporation,N/A,N/A,N/A,2025-10-11
